subject_id	Classification	Group	mean_abu_nor
Pt12	Gammapapillomavirus	Pre-Tx	1.7731724892
Pt12	Gammapapillomavirus	Post-Tx-onIS>12M	4.502745918217
Pt12	Herpesviridae	Pre-Tx	0
Pt12	Herpesviridae	Post-Tx-onIS>12M	9.8604783e-05
Pt12	Molluscipoxvirus	Pre-Tx	0
Pt12	Molluscipoxvirus	Post-Tx-onIS>12M	0.0004888989803
Pt12	Non-viruses	Pre-Tx	0.0580980069999999
Pt12	Non-viruses	Post-Tx-onIS>12M	11.3892414537367
Pt12	Papillomaviridae	Pre-Tx	0
Pt12	Papillomaviridae	Post-Tx-onIS>12M	0.003708059
Pt12	Polyomaviridae	Pre-Tx	0
Pt12	Polyomaviridae	Post-Tx-onIS>12M	0
Pt12	Poxviridae	Pre-Tx	0
Pt12	Poxviridae	Post-Tx-onIS>12M	0
Pt07	Alphapolyomavirus	Pre-Tx	0
Pt07	Alphapolyomavirus	Post-Tx-offIS-12M	0.049369611
Pt07	Alphapolyomavirus	Post-Tx-offIS-24M	0.0036517393
Pt07	Anelloviridae	Pre-Tx	0
Pt07	Anelloviridae	Post-Tx-offIS-12M	0.023363531
Pt07	Anelloviridae	Post-Tx-offIS-24M	0
Pt07	Betapapillomavirus	Pre-Tx	0.3921364567
Pt07	Betapapillomavirus	Post-Tx-offIS-12M	0.078568501
Pt07	Betapapillomavirus	Post-Tx-offIS-24M	0.0514164923
Pt07	Deltapolyomavirus	Pre-Tx	7.2998566059
Pt07	Deltapolyomavirus	Post-Tx-offIS-12M	0.5479553364
Pt07	Deltapolyomavirus	Post-Tx-offIS-24M	0.014066587
Pt07	Gammapapillomavirus	Pre-Tx	0.2799998385901
Pt07	Gammapapillomavirus	Post-Tx-offIS-12M	0.0455586476
Pt07	Gammapapillomavirus	Post-Tx-offIS-24M	0.5422054356
Pt07	Herpesviridae	Pre-Tx	7.823720092e-05
Pt07	Herpesviridae	Post-Tx-offIS-12M	0.001024492
Pt07	Herpesviridae	Post-Tx-offIS-24M	0.00037877626
Pt07	Molluscipoxvirus	Pre-Tx	3.33055314e-05
Pt07	Molluscipoxvirus	Post-Tx-offIS-12M	0.0010518508
Pt07	Molluscipoxvirus	Post-Tx-offIS-24M	0.00105337888
Pt07	Non-viruses	Pre-Tx	0.02776403331758
Pt07	Non-viruses	Post-Tx-offIS-12M	7.2332276732
Pt07	Non-viruses	Post-Tx-offIS-24M	6.38579402266
Pt07	Papillomaviridae	Pre-Tx	3.32495e-05
Pt07	Papillomaviridae	Post-Tx-offIS-12M	0.015655205
Pt07	Papillomaviridae	Post-Tx-offIS-24M	0.001433568
Pt07	Polyomaviridae	Pre-Tx	9.827326e-05
Pt07	Polyomaviridae	Post-Tx-offIS-12M	0.004225152
Pt07	Polyomaviridae	Post-Tx-offIS-24M	0
Pt07	Poxviridae	Pre-Tx	0
Pt07	Poxviridae	Post-Tx-offIS-12M	0
Pt07	Poxviridae	Post-Tx-offIS-24M	0
Pt08	Alphapolyomavirus	Pre-Tx	0.00409421276
Pt08	Alphapolyomavirus	Post-Tx-offIS-12M	0.014187924
Pt08	Alphapolyomavirus	Post-Tx-offIS-24M	0.061731319
Pt08	Anelloviridae	Pre-Tx	0
Pt08	Anelloviridae	Post-Tx-offIS-12M	0
Pt08	Anelloviridae	Post-Tx-offIS-24M	0
Pt08	Betapapillomavirus	Pre-Tx	3.9609356145
Pt08	Betapapillomavirus	Post-Tx-offIS-12M	1.551868044
Pt08	Betapapillomavirus	Post-Tx-offIS-24M	0.0771842873
Pt08	Deltapolyomavirus	Pre-Tx	0.63297948006
Pt08	Deltapolyomavirus	Post-Tx-offIS-12M	0.122636315
Pt08	Deltapolyomavirus	Post-Tx-offIS-24M	0.011372255
Pt08	Gammapapillomavirus	Pre-Tx	2.682651778271
Pt08	Gammapapillomavirus	Post-Tx-offIS-12M	0.7382194622
Pt08	Gammapapillomavirus	Post-Tx-offIS-24M	0.7090153085
Pt08	Herpesviridae	Pre-Tx	0.0004621883403
Pt08	Herpesviridae	Post-Tx-offIS-12M	0
Pt08	Herpesviridae	Post-Tx-offIS-24M	0.00040282649
Pt08	Molluscipoxvirus	Pre-Tx	0.000102352305
Pt08	Molluscipoxvirus	Post-Tx-offIS-12M	9.837281e-05
Pt08	Molluscipoxvirus	Post-Tx-offIS-24M	5.319915e-05
Pt08	Non-viruses	Pre-Tx	0.6089526884837
Pt08	Non-viruses	Post-Tx-offIS-12M	5.55846531099
Pt08	Non-viruses	Post-Tx-offIS-24M	7.14024080456
Pt08	Papillomaviridae	Pre-Tx	0.07636586342
Pt08	Papillomaviridae	Post-Tx-offIS-12M	0.014524571
Pt08	Papillomaviridae	Post-Tx-offIS-24M	0
Pt08	Polyomaviridae	Pre-Tx	0.03345582186
Pt08	Polyomaviridae	Post-Tx-offIS-12M	0
Pt08	Polyomaviridae	Post-Tx-offIS-24M	0
Pt08	Poxviridae	Pre-Tx	0
