site_specific	kingdom	Group	site_mean
Pc	Phage	Post-Tx-onIS-1M	2.41428573333333e-06
Pc	Phage	Post-Tx-onIS-2M	7.84402733333333e-06
Pc	Phage	Post-Tx-onIS-3M	0.000156335720571429
Pc	Phage	Post-Tx-onIS-6M	0.00338728663828571
Pc	Phage	Post-Tx-onIS>12M	0.001202334323475
Pc	Phage	Post-Tx-offIS-12M	0.000517998173307692
Pc	Phage	Post-Tx-offIS-24M	0.00114377885255833
Pc	Phage	HVs	0.000430774445166667
Pc	Phage	Donor	0.000368864262571429
Ph	Bacteria	Pre-Tx	0.757755195155186
Ph	Bacteria	Post-Tx-onIS-1M	0.532586063657
Ph	Bacteria	Post-Tx-onIS-2M	0.66341922768
Ph	Bacteria	Post-Tx-onIS-3M	0.724190867031057
Ph	Bacteria	Post-Tx-onIS-6M	0.900728775329914
Ph	Bacteria	Post-Tx-onIS>12M	0.996593102762725
Ph	Bacteria	Post-Tx-offIS-12M	0.988788902869962
Ph	Bacteria	Post-Tx-offIS-24M	0.990612681530708
Ph	Bacteria	HVs	0.9788696811712
Ph	Bacteria	Donor	0.907263589459
Ph	Eukaryotic virus	Pre-Tx	0.230638171275255
Ph	Eukaryotic virus	Post-Tx-onIS-1M	0.45862440292
Ph	Eukaryotic virus	Post-Tx-onIS-2M	0.320143255201667
Ph	Eukaryotic virus	Post-Tx-onIS-3M	0.2703189156619
Ph	Eukaryotic virus	Post-Tx-onIS-6M	0.0818843043952
Ph	Eukaryotic virus	Post-Tx-onIS>12M	0.000504724736675
Ph	Eukaryotic virus	Post-Tx-offIS-12M	0.00295816018419231
Ph	Eukaryotic virus	Post-Tx-offIS-24M	0.00228164752466667
Ph	Eukaryotic virus	HVs	0.00028142242225
Ph	Eukaryotic virus	Donor	0.08439687221
Ph	Fungi	Pre-Tx	0.0104137787529764
Ph	Fungi	Post-Tx-onIS-1M	0.00672461132266667
Ph	Fungi	Post-Tx-onIS-2M	0.0160218925763333
Ph	Fungi	Post-Tx-onIS-3M	0.00431833047052857
Ph	Fungi	Post-Tx-onIS-6M	0.0164403251577571
Ph	Fungi	Post-Tx-onIS>12M	0.00195714471985
Ph	Fungi	Post-Tx-offIS-12M	0.00648014498375385
Ph	Fungi	Post-Tx-offIS-24M	0.00662867478540833
Ph	Fungi	HVs	0.020698546264575
Ph	Fungi	Donor	0.007421950379
Ph	Phage	Pre-Tx	0.00119285502544242
Ph	Phage	Post-Tx-onIS-1M	0.00206491973366667
Ph	Phage	Post-Tx-onIS-2M	0.0004156558
Ph	Phage	Post-Tx-onIS-3M	0.0011718958728
Ph	Phage	Post-Tx-onIS-6M	0.000946585803571429
Ph	Phage	Post-Tx-onIS>12M	0.00094500536325
Ph	Phage	Post-Tx-offIS-12M	0.00177280565203846
Ph	Phage	Post-Tx-offIS-24M	0.00047699268825
Ph	Phage	HVs	0.000150351905525
Ph	Phage	Donor	0.000917547163
